timestamp,station_id,name,address,longitude,latitude,total_bases,active_bases,available_bikes,free_bases,reservations,status
2025-04-13 03:01:20,1409,5 - Fuencarral,"Calle Fuencarral n. 106,",-3.7021354,40.4285212,27,26,1,25,0,1
2025-04-13 03:01:20,1412,8 - Metro Alonso Martinez,"Plaza de Alonso Martinez n. 6,",-3.6954403000000005,40.4278682,24,24,2,22,0,1
2025-04-13 03:01:20,1414,10 - Marques de la Ensenada,"Calle Marques de la Ensenada (junto a edif, Centro Colon),",-3.6921040000000005,40.425403,23,23,10,13,0,1
2025-04-13 03:01:20,1415,11 - Plaza del Dos de Mayo,"Calle San Andres n. 18 - 20,",-3.7036,40.427,23,23,0,23,0,1
2025-04-13 03:01:20,2286,609 - Metro Ronda de la Comunicacion,"Ronda de la Comunicacion, s/n,",-3.6626887,40.5157202,23,23,19,4,0,1
2025-04-13 03:01:20,2287,408 - Metro San Cristobal,"Calle de Moncada, 102 ,",-3.692444,40.341725,23,23,1,22,0,1
2025-04-13 03:01:20,2288,"409 - Eduardo Barreiros, 114","Calle Eduardo Barreiros, 114,",-3.7046436000000003,40.3553495,23,23,21,2,0,1
2025-04-13 03:01:20,2289,606 - Fermin Caballero - Sangenjo,"Calle Fermin Caballero 2,",-3.6984849999999994,40.487363,23,23,3,20,0,1
2025-04-13 03:01:20,2290,349 - Huerta de Castaneda 26,"Calle Huerta de Castaneda, 26 ,",-3.74201882097404,40.40622095698234,24,26,25,1,0,1
2025-04-13 03:01:20,2291,544 - Gregorio Sanchez Herraez 14,"calle Gregorio Sanchez Herraez 14,",-3.6365700000000003,40.477248,23,23,14,9,0,1
2025-04-13 03:01:20,2293,552 - Ana de Austria - Ignacio Aldecoa,"Calle Ana de Austria, 52 ,",-3.6531502,40.4994394,27,27,10,17,0,1
2025-04-13 03:01:20,2294,542 - Intercambiador de Valdebebas,"Calle de Juan Antonio Samaranch s/n,",-3.6157089999999994,40.483962,23,22,16,6,0,1
2025-04-13 03:01:20,2298,608 - Estella - Camino de Santiago,"Calle Estella, 21,",-3.6743568,40.4968198,23,23,20,3,0,1
2025-04-13 03:01:20,2299,278 - Paseo los Pontones - Ps. Melancolicos,"Paseo de los Pontones, 26 ,",-3.7196,40.4040433,23,22,13,9,0,1
2025-04-13 03:01:20,2300,289 - Luis de Salazar - Padre Claret,"Calle luis de Salazar, 16 ,",-3.6649258000000002,40.4474166,23,23,10,13,0,1
2025-04-13 03:01:20,2302,"402 - Berrocal, 9","Calle de Berrocal, 9 ,",-3.67615,40.344115,27,31,28,3,0,1
2025-04-13 03:01:20,2303,543 - Tomas Redondo,"Calle Tomas Redondo, 9 ,",-3.6291380199999996,40.47178414,23,23,6,17,0,1
2025-04-13 03:01:20,2304,277 - Virgen del Puerto,"Paseo Virgen del Puerto, 27 ,",-3.7211780000000005,40.411622,15,15,13,2,0,1
2025-04-13 03:01:20,2306,282 - Parque Retiro - Puerta Reina Mercedes,"Avenida Menendez Pelayo enfrente del n.33 ,",-3.6787796,40.4181327,23,23,4,19,0,1
2025-04-13 03:01:20,2308,263 - Gran Via de San Francisco,"Avenida Gran Via de San Francisco, 6,",-3.712793282384579,40.40833880815136,23,23,9,14,0,1
2025-04-13 03:01:20,2309,"559 - Calle Babilonia, 19"," Calle Babilonia, 19,",-3.5882346999999997,40.4675299,23,20,6,14,0,1
2025-04-13 03:01:20,2311,581 - Metro Penagrande,"Camino de Ganapanes, 32-40 ,",-3.7163093000000003,40.4764797,24,22,10,12,0,1
2025-04-13 03:01:20,2312,598 - Hospital Ramon y Cajal,"Calle San Modesto, 44,",-3.6923396,40.4858012,24,23,2,21,0,1
2025-04-13 03:01:20,2313,341 - Escalona - Sesena,"Calle Escalona, 2,",-3.76182259,40.39834576,27,27,5,22,0,1
2025-04-13 03:01:20,2314,346 - Metro Empalme,"Calle de Tembleque, 31 ,",-3.7664844,40.3907438,24,24,8,16,0,1
2025-04-13 03:01:20,2315,347 - Est. tren Mtra Justa Freire-Poli Aluche,"Avenida de las Aguilas, 27 ,",-3.7686029999999997,40.383554,24,24,16,8,0,1
2025-04-13 03:01:20,2316,528 - Albelda - Torrelaguna,"Calle Albelda, 6,",-3.6573666,40.4494225,24,24,8,16,0,1
2025-04-13 03:01:20,2317,312 - Metro Batan,"Paseo de la Venta, 1,",-3.7528559,40.4077495,27,28,28,0,0,1
2025-04-13 03:01:20,2319,310 - Estacion de tren de Aravaca,"Calle Rosas de Aravaca, s/n ,",-3.7845536000000006,40.4490509,23,23,13,10,0,1
2025-04-13 03:01:20,2321,283 - Museo Nacional del Prado,"Calle Felipe IV, 5 ,",-3.6919057,40.4152082,23,23,10,13,0,1
2025-04-13 03:01:20,2322,564 - IFEMA B,"Avenida Del Partenon, 18 ,",-3.6138669999999995,40.463861,23,23,5,18,0,1
2025-04-13 03:01:20,2323,468 - Canos de San Pedro - San Cipriano,"Calle Canos de San Pedro, 12,",-3.6019220000000005,40.403472,23,23,12,11,0,1
2025-04-13 03:01:20,2325,414 - Metro Villaverde Bajo-Cruce,"Calle Santa Petronila, 7 ,",-3.692163,40.350985,24,24,4,20,0,1
2025-04-13 03:01:20,2326,380 - Oca,"Calle de la Oca, 22 ,",-3.7335492000000006,40.3894333,24,28,27,1,0,1
2025-04-13 03:01:20,2328,354 - Jacinto Verdaguer - Lola de Membrives,"Calle Jacinto Verdaguer, 12 ,",-3.7160526116262793,40.39593854704345,24,30,29,1,0,1
